Device MAC,Preferred SSIDs
8e:a4:40:4d:09:87,"Orange-F60A, KolejNet-5G, DML"
00:ed:29:4f:67:c0,"VPN, KolejNet, kapr"
86:2c:76:23:f4:7d,"J3FO(z%m7?+'N, L~jr1E upY$5`Ld9, KolejNet"
a8:9c:ed:5c:23:2d,"ZENATA, MATRIGO_C578, KolejNet, TELOCVICNA, KAFIRNA, GYMBOS_ZAM, ZENATA_2.4G"
5a:1b:ff:7d:47:9b,"ZENATA, MATRIGO_C578, TELOCVICNA, KAFIRNA, GYMBOS_ZAM, ZENATA_2.4G"
ae:58:a3:e9:17:22,"KolejNet, MoanToGainAccess"
9e:29:53:05:4e:8c,"Redmi Note 8 Pro, ESP32_CAPTIVE_AP"
e0:cc:f8:ea:07:2e,"bizy.nz.guest, POCO M3, TP-LINK_973EFA"
1c:f8:d0:6d:ea:53,"8}qHAX30CC)/4Tp.I*., hKf(zb`;].D&P?[cnh1;'LEK0yqYx, KolejNet"
32:fd:d7:29:a2:a0,"Redmi Note 8 Pro, ESP32_CAPTIVE_AP"
10:02:b5:4b:8a:f2,"KolejNet-2.4G, KolejNet, Cormoran"
1c:cc:d6:48:4e:9c,"dlink-F25C_1227-EXT, KolejNet, BTBHub6-K7CR, dlink-F25C_1227-EXT5G, dlink-F25C_1227, GYMUN, TP-LINK_MV"
f8:ab:82:0e:e6:c4,"mix, Redmi Note 9 Pro, KolejNet, Lhota"
36:0e:a8:45:40:5c,"Veverkovi2, eduroam, <|_|>, fch-guest, BrnoPublicWiFi, MUNI, THE-ROSES-PUBLIC"
ac:80:fb:de:a8:0b,"KolejNet-5G, KolejNet-2.4G"
1c:cc:d6:fb:9c:75,"PELIKAN_2G, O2-Internet-631, KolejNet-2.4G, O2-Internet-010"
2a:de:61:3a:70:c6,"Orange-F60A, DML"
c2:ef:48:87:44:ce,"Orange-F60A, DML"
02:fb:ff:f8:55:6e,"02-modem, datt"
16:f4:2c:c5:56:ad,"Vasik, Sajto"
e6:b5:84:f8:5f:4b,"Sajto, NAKA hotspot, NAKA, Hatfa, Jana wifi"
86:c7:12:1f:57:fa,"Sajto, NAKA, NAKA hotspot, Vasik, Hatfa"
a6:58:a3:cc:06:bb,"Jana wifi, NAKA hotspot, Sajto"
02:65:e6:c4:38:1a,"NAKA, NAKA hotspot, Vasik, Hatfa, Jana wifi"
ee:55:66:11:22:55,"Vodafone-61CA, DPMBfree, IWAO.cz_Nemcovi, Vodafone-CBAA, KolejNet, JMK_WiFi, AndroidAP0781, vutbrno"
96:f0:88:1b:bd:01,"Veverkovi2, DPMBfree, eduroam, <|_|>, fch-guest, BrnoPublicWiFi, CSOB Free, Robocopy, MUNI, THE-ROSES-PUBLIC"
0a:22:6a:ca:47:c1,"dlink-F25C_1227-EXT, BTBHub6-K7CR, dlink-F25C_1227-EXT5G, dlink-F25C_1227, GYMUN, TP-LINK_MV"
74:15:75:48:72:d4,"AndroidAP1B63, KolejNet, Hotel Insula, Redmi Note 10 Pro, TP-Link_ECFF, Internet_4881, Galaxy A406E45, GD_Zaci"
92:c6:74:8d:81:9e,"KloudaNET, Domek, Baxik -iphone , A-EXPRESS"
de:24:fc:8b:40:5a,"eduroam, Olympia_net, KolejNet, Anetka- iPhone ? , WiFi_Sadlik, B_venku, Ospiti, KloudaNET, Domek, Baxik -iphone , mywings230, WIFI_SLUKY_RESTAURACE, SPSSTAV FREE, A-EXPRESS"
a4:55:90:6b:1d:5b,"AndroidShare_7701, Zajac, ChateauGbelany"
26:f2:41:2f:de:39,"Vasik, Hatfa, NAKA hotspot, Sajto"
86:8f:ea:80:72:25,"Sajto, NAKA, NAKA hotspot, Vasik, Hatfa, Jana wifi"
6e:49:79:ae:5e:04,"Hatfa, NAKA hotspot"
3e:16:2c:f1:05:b8,"Sajto, NAKA hotspot, NAKA, Hatfa, Jana wifi"
b6:d4:ef:57:af:73,"Vodafone-61CA, JMK_WiFi, Vodafone-CBAA, vutbrno"
1e:cc:d6:9d:df:59,"PELIKAN_2G, O2-Internet-631, O2-Internet-010"
02:bc:aa:34:03:21,"eduroam, Anetka- iPhone ? , KloudaNET, LIDL-Free-WiFi, McDonald's FREE WIFI"
72:de:fb:16:bd:b5,"eduroam, CDWiFi"
aa:74:94:55:d6:09,"IWAO.cz_Nemcovi, KolejNet, JMK_WiFi, AndroidAP0781, vutbrno"
9a:02:44:16:77:f4,"eduroam, Anetka- iPhone ? , LIDL-Free-WiFi, Domek, Baxik -iphone , McDonald's FREE WIFI"
1a:63:d5:d8:b5:e6,"OSK_04F1, @wifi"
f2:d4:0c:03:67:9b,"eduroam, Anetka- iPhone ? , B_venku, KloudaNET, LIDL-Free-WiFi, Baxik -iphone , McDonald's FREE WIFI, A-EXPRESS"
b4:c4:fc:6d:ab:63,"KolejNet-2.4G, KolejNet"
4a:05:aa:e9:e8:e1,"eduroam, CDWiFi"
2a:d1:30:1c:e8:2f,"192.168.12.30, Stavovi, TP-Link_BB8E, Pizzerie-bar, PBSTAGE, JOFI, Lhota, Redmi Note 9 Pro, mix"
96:07:50:af:51:49,"Orange-F60A, DML"
86:49:b6:5c:32:ca,"Stavovi, TP-Link_BB8E, Pizzerie-bar, PBSTAGE, JOFI, Redmi Note 9 Pro, mix"
16:a4:16:17:f0:2f,"Vodafone-61CA, IWAO.cz_Nemcovi, KolejNet, JMK_WiFi, AndroidAP0781, vutbrno"
e0:dc:ff:0e:85:cc,"OEMPA, AndroidShare_5414, Redkvicka, AndroidShare_9612"
76:d9:4d:1c:ef:c0,"bizy.nz.guest, POCO M3, TP-LINK_973EFA"
c8:9b:d7:34:f9:d1,"novakovi-5G, eduroam, KolejNet, G3, novakovi-2.4G, KolejNet-2.4G, hacknet, Coop Intern, ExploNetwork"
1e:cc:d6:54:d5:17,"PELIKAN_2G, O2-Internet-631, O2-Internet-010"
76:f1:e1:d5:7f:d8,"Dolezalovi, NM, Tony"
da:a1:19:41:5d:07,"MiWiFi, KolejNet"
ea:2c:ad:2d:6c:ac,"Redmi Note 8 Pro, ESP32_CAPTIVE_AP"
e4:84:d3:da:b6:80,"UPC39699D8, eduoram, KolejNet"
10:3d:1c:d0:c4:e7,"VanWIFI, sitovy_divajs"
88:46:04:63:27:a0,"Kralovopolska16a2, Hospudka u sauny, Dalibor's Galaxy S20 FE"
56:ad:41:25:6f:42,"Net_L2_5GHz_nomap, Julka Doma"
06:9e:f4:9c:89:ee,"OSK_804A0E, OSK_EA11, T-CfpNgY, KolejNet"
9a:e5:76:9f:65:25,"Veverkovi2, eduroam, <|_|>, Cajovna_1, BrnoPublicWiFi, AdrezLiving, Galaxy A32 5G3206, CSOB Free, Robocopy, Na Purkynce FREE"
2e:ef:49:aa:b0:4f,"<|_|>, Pitrasnet"
8a:46:04:7a:41:b7,"Kralovopolska16a2, Dalibor's Galaxy S20 FE, SVCKlicFM_free, TP-Link_8A07_5G, Hospudka u sauny"
da:a1:19:22:3f:5a,"MiWiFi, KolejNet"
3e:cf:e6:87:f5:20,"dlink-F25C_1227-EXT5G, TP-LINK_MV, GYMUN, BTBHub6-K7CR"
9e:4d:d1:97:2c:9c,"dlink-F25C_1227-EXT, dlink-F25C_1227, GYMUN"
ea:e9:95:48:89:99,"Vliegenbos, FRITZ!Box 5490 PJ, TMNL-61CD26"
00:0c:e7:78:f1:43,"ENIGMA, CEITEC Nano, ENIGMA_5G, Bagrikovo, Internet_RPT, Skacelova, bagrikovo, PBH"
00:0c:e7:a9:04:47,"ENIGMA, CEITEC Nano, ENIGMA_5G, Bagrikovo, Internet_RPT, Skacelova, bagrikovo, PBH"
00:0c:e7:0c:47:d0,"Skacelova, Internet_RPT, bagrikovo, PBH"
00:0c:e7:e9:85:35,"Skacelova, Internet_RPT, PBH"
52:3d:c6:3f:5f:e1,"ENIGMA, CEITEC Nano, ENIGMA_5G, Bagrikovo, Internet_RPT, Skacelova, bagrikovo, PBH"
ae:ef:7c:16:7b:61,"novakovi-5G, eduroam, KolejNet, G3, novakovi-2.4G, KolejNet-2.4G, hacknet, Coop Intern, ExploNetwork"
da:a1:19:f6:4b:ff,"Zyxel_9921, KSBrno, SPAVOS_NET"
da:a1:19:f2:79:45,"Zyxel_9921, kvasnicka, Martin - iPhone, UTOPIA"
da:a1:19:2b:80:34,"KSBrno, SPAVOS_NET"
da:a1:19:5e:7c:30,"Zyxel_9921, SPAVOS_NET"
da:a1:19:28:22:d6,"Zyxel_9921, KSBrno"
da:a1:19:06:24:d8,"Zyxel_9921, KSBrno, SPAVOS_NET"
da:a1:19:f1:59:0d,"Zyxel_9921, KSBrno, SPAVOS_NET"
da:a1:19:38:32:e6,"Zyxel_9921, KSBrno"
da:a1:19:3d:24:d8,"Zyxel_9921, KSBrno, SPAVOS_NET"
da:a1:19:1d:cf:83,"Zyxel_9921, SPAVOS_NET"
7e:50:fe:af:56:e2,"T-q9ykZ4, VanWIFI, VILA KASA1"
da:a1:19:11:6a:88,"airCube-FC1, kvasnicka, Martin - iPhone, UTOPIA, Zyxel_9921, POCO M3 Pro 5G, KSBrno, SPAVOS_NET"
da:a1:19:2b:38:ec,"KSBrno, SPAVOS_NET"
da:a1:19:12:9e:89,"Zyxel_9921, KSBrno, SPAVOS_NET"
da:a1:19:7d:ae:62,"Zyxel_9921, KSBrno, SPAVOS_NET"
da:a1:19:ec:78:2c,"Zyxel_9921, KSBrno, SPAVOS_NET"
da:a1:19:dd:e8:d3,"Zyxel_9921, SPAVOS_NET"
da:a1:19:0f:2d:18,"Zyxel_9921, KSBrno, SPAVOS_NET"
da:a1:19:ee:30:e4,"Zyxel_9921, KSBrno, SPAVOS_NET"
da:a1:19:19:44:e5,"Zyxel_9921, KSBrno, SPAVOS_NET"
da:a1:19:b4:d2:bd,"Zyxel_9921, KSBrno, SPAVOS_NET"
da:a1:19:9d:29:14,"Zyxel_9921, KSBrno, SPAVOS_NET"
b8:94:e7:3e:ff:bc,"Cybertron, KolejNet"
da:a1:19:de:90:44,"Zyxel_9921, SPAVOS_NET"
62:2f:81:14:82:bf,"weefee_2G_guest, Cybertron, PONIKY_WIFI, UPC0677608"
e2:87:b9:60:76:1a,"weefee_2G_guest, Cybertron, PONIKY_WIFI, UPC0677608"
da:a1:19:df:34:1f,"Zyxel_9921, KSBrno, SPAVOS_NET"
0a:6a:ca:da:d1:7e,"weefee_2G_guest, Cybertron, PONIKY_WIFI, UPC0677608"
8e:10:f2:46:3b:77,"Cybertron, weefee_2G_guest, PONIKY_WIFI, UPC0677608"
da:bb:c8:0d:e9:e8,"weefee_2G_guest, Cybertron, PONIKY_WIFI, UPC0677608"
5a:3d:f4:4c:31:3a,"Decky_wifi, Redmi Note 13 Pro+ 5G, hn_fara_vanek"
6e:6b:44:8a:64:cf,"sL_wifi, eduroam, Totally not hidden wifi, Nessie, CEJNKOVI_5G, CEJNKOVI_2G, KempCIL Free, PokojNet"
32:84:87:a1:75:40,"Stanica_Camden, AL-netHotSpot_LODENICA"
e2:aa:95:f4:27:8f,"ZENATA, MATRIGO_C578, TELOCVICNA, KAFIRNA, GYMBOS_ZAM, ZENATA_2.4G"
ea:dc:a0:84:25:45,"Redmi Note 8 Pro, ESP32_CAPTIVE_AP"
